# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	2471
#@/user_id	0f0c650b-c559-41ba-87f1-1a1028d9eaec
a si dun 	阿斯頓	c=0 d=0.0156453 t=2471
qu nian 	去年	c=3 d=3.11053e-05 t=2471
qu xiao 	取消	c=3 d=0.403823 t=2471
quan 	全	c=37 d=0.368513 t=2471
quan 	圈	c=1 d=0.802519 t=2471
quan ping 	全屏	c=1 d=0.341298 t=2471
quan xuan 	全選	c=2 d=0.750632 t=2471
que shi 	確實	c=3 d=0.12657 t=2471
qun 	羣	c=1 d=0.000132358 t=2471
ran hou 	然後	c=1 d=4.14924e-05 t=2471
re du 	熱度	c=2 d=0.845422 t=2471
ren 	人	c=9 d=2.0976 t=2471
ren da 	人大	c=3 d=0.0150142 t=2471
ren gong zhi neng 	人工智能	c=1 d=0.995012 t=2471
ren jia 	人家	c=1 d=0.000267872 t=2471
ren qi 	人氣	c=1 d=0.355226 t=2471
ren yi 	任意	c=2 d=0.000703149 t=2471
ri ben 	日本	c=3 d=0.650725 t=2471
rong qi 	容器	c=1 d=0.00019647 t=2471
ru guo 	如果	c=3 d=0.0170231 t=2471
ru he 	如何	c=11 d=0.184286 t=2471
ruan jian 	軟件	c=8 d=1.77058 t=2471
se qing 	色情	c=1 d=0.196912 t=2471
sha 	殺	c=1 d=4.60861e-05 t=2471
sha mo 	沙漠	c=2 d=5.04628e-05 t=2471
shan chu 	刪除	c=2 d=0.61587 t=2471
shan xi 	山西	c=1 d=0.831104 t=2471
shan xi 	陝西	c=1 d=0.0025415 t=2471
shang 	上	c=6 d=0.0320707 t=2471
shang chuan 	上傳	c=1 d=0.927743 t=2471
shao wei 	稍微	c=1 d=0.00647375 t=2471
she 	社	c=1 d=0.00615802 t=2471
she bei 	設備	c=1 d=0.000269215 t=2471
she ding 	設定	c=1 d=0.000154549 t=2471
she ji 	設計	c=2 d=0.000320365 t=2471
she qu 	社區	c=4 d=0.889368 t=2471
she xiang tou 	攝像頭	c=1 d=0.941765 t=2471
she zhi 	設置	c=14 d=0.640549 t=2471
shen 	申	c=2 d=0.000115442 t=2471
shen du 	深度	c=1 d=0.421052 t=2471
shen fen 	身份	c=1 d=2.44226e-05 t=2471
shen me 	什麼	c=3 d=1.2804 t=2471
sheng yin 	聲音	c=1 d=8.56707e-05 t=2471
shi 	世	c=2 d=1.4265e-05 t=2471
shi 	使	c=1 d=0.000867409 t=2471
shi 	是	c=9 d=0.399809 t=2471
shi 	時	c=11 d=0.809143 t=2471
shi fan 	示範	c=1 d=0.00100779 t=2471
shi fou 	是否	c=5 d=0.0233103 t=2471
shi ge 	是個	c=1 d=0.246597 t=2471
shi hou 	時候	c=1 d=0.000633025 t=2471
shi mo 	石墨	c=3 d=0.539219 t=2471
shi pin 	飾品	c=1 d=0.00609675 t=2471
shi xian 	實現	c=4 d=0.0745778 t=2471
shi xiao 	失效	c=1 d=0.0273237 t=2471
shi xin 	時薪	c=1 d=0.571209 t=2471
shi yong 	使用	c=30 d=1.22183 t=2471
shou 	收	c=1 d=1.15364e-05 t=2471
shou bu liao 	受不了	c=2 d=0.00725371 t=2471
shou ce 	手冊	c=1 d=0.0572688 t=2471
shou ji 	手機	c=12 d=5.05981 t=2471
shou ye 	首頁	c=1 d=6.52415e-06 t=2471
shu 	書	c=12 d=0.453294 t=2471
shu biao 	鼠標	c=6 d=5.5672 t=2471
shu chu 	輸出	c=1 d=0.0963276 t=2471
shu fu 	舒服	c=1 d=0.00421123 t=2471
shu ji 	書籍	c=1 d=0.000118571 t=2471
shu ju 	數據	c=7 d=0.296108 t=2471
shu ju ku 	數據庫	c=6 d=1.356 t=2471
shu liang 	數量	c=1 d=0.000242381 t=2471
shu ru 	輸入	c=1 d=0.000110003 t=2471
shu ru fa 	輸入法	c=1 d=8.82797e-05 t=2471
shu xing 	屬性	c=2 d=0.0640071 t=2471
shu xue 	數學	c=7 d=0.0308114 t=2471
shuai 	摔	c=1 d=0.882497 t=2471
shui 	誰	c=1 d=0.000380129 t=2471
shui ping 	水平	c=1 d=0.000291637 t=2471
shuo 	說	c=1 d=0.00326335 t=2471
si 	死	c=3 d=0.000571063 t=2471
si 	絲	c=1 d=0.000430743 t=2471
si kao 	思考	c=2 d=0.00903328 t=2471
si ma 	司馬	c=1 d=0.0340475 t=2471
si you 	私有	c=1 d=0.063609 t=2471
sou suo 	搜索	c=2 d=0.955997 t=2471
su dong 	速凍	c=1 d=0.00106477 t=2471
suan fa 	算法	c=1 d=2.69912e-05 t=2471
sui bian 	隨便	c=0 d=0.0594521 t=2471
sui bian liao 	隨便聊	c=1 d=0.597501 t=2471
suo yi 	所以	c=1 d=0.00431784 t=2471
suo you 	所有	c=1 d=0.000113353 t=2471
ta 	她	c=1 d=1.37427e-05 t=2471
ta he 	他和	c=1 d=1.36742e-05 t=2471
ta shang 	踏上	c=2 d=3.87246e-05 t=2471
tai 	太	c=1 d=0.00419023 t=2471
tai nan 	太難	c=1 d=0.0665368 t=2471
tai rui 	太瑞	c=1 d=1.86437e-05 t=2471
tai tan 	泰坦	c=1 d=3.73566e-05 t=2471
tan chu 	彈出	c=1 d=0.0227089 t=2471
tao 	討	c=1 d=0.00200924 t=2471
tao bao 	淘寶	c=1 d=0.00263203 t=2471
tao ci 	陶瓷	c=2 d=1.76641 t=2471
te bie 	特別	c=3 d=0.00292661 t=2471
ti shi 	提示	c=4 d=0.0562948 t=2471
tian 	舔	c=2 d=3.51178e-05 t=2471
tian cai 	天才	c=1 d=1.6453e-05 t=2471
tian chun 	田春	c=2 d=0.109303 t=2471
tian jia 	添加	c=6 d=0.28225 t=2471
tian tian 	甜甜	c=1 d=1.06495e-05 t=2471
tiao chu 	跳出	c=1 d=0.00733572 t=2471
tiao jie 	調節	c=1 d=6.77287e-05 t=2471
tiao zheng 	調整	c=1 d=0.271173 t=2471
tie zi 	帖子	c=1 d=0.013912 t=2471
ting 	聽	c=1 d=0.798516 t=2471
ting guo 	聽過	c=1 d=0.00565622 t=2471
ting hao 	挺好	c=1 d=0.085435 t=2471
ting zhi 	停止	c=1 d=0.00019258 t=2471
tong 	通	c=3 d=0.000296482 t=2471
tong guo 	通過	c=1 d=0.0513033 t=2471
tong yi 	統一	c=1 d=3.43125e-05 t=2471
tou 	投	c=1 d=0.431711 t=2471
tou ming 	透明	c=1 d=7.59831e-05 t=2471
tou piao 	投票	c=1 d=0.486752 t=2471
tou ying 	投影	c=17 d=7.73132 t=2471
tu 	圖	c=2 d=0.809285 t=2471
tu pian 	圖片	c=1 d=0.701173 t=2471
tu shu 	圖書	c=1 d=0.000141247 t=2471
tui 	推	c=1 d=0.000953854 t=2471
tui chu 	退出	c=1 d=0.0147723 t=2471
tui keng 	退坑	c=1 d=0.00568457 t=2471
tuo zhan 	拓展	c=3 d=0.0080412 t=2471
wa sai 	哇塞	c=2 d=0.947331 t=2471
wan 	玩	c=2 d=0.0686674 t=2471
wan 	萬	c=2 d=0.869376 t=2471
wan cheng 	完成	c=1 d=0.000104638 t=2471
wang 	網	c=3 d=0.555265 t=2471
wang ba 	網吧	c=1 d=0.0342181 t=2471
wang luo 	網絡	c=3 d=0.00385825 t=2471
wang qiu 	網球	c=1 d=0.071719 t=2471
wang yi 	網易	c=5 d=0.0010476 t=2471
wei 	微	c=4 d=0.000374454 t=2471
wei 	未	c=1 d=0.224249 t=2471
wei 	爲	c=5 d=0.319607 t=2471
wei 	維	c=3 d=0.00620431 t=2471
wei bo 	微薄	c=1 d=5.60089e-05 t=2471
wei er 	維爾	c=0 d=0.00017643 t=2471
wei he 	爲何	c=1 d=0.00740944 t=2471
wei ruan 	微軟	c=2 d=5.01124e-05 t=2471
wei shen me 	爲什麼	c=1 d=0.937067 t=2471
wei xin 	微信	c=1 d=0.00210172 t=2471
wei yun 	尾韻	c=1 d=0.000117391 t=2471
wen 	問	c=1 d=0.000296045 t=2471
wen dang 	文檔	c=4 d=0.708048 t=2471
wen jian 	文件	c=9 d=0.0377271 t=2471
wen ti 	問題	c=2 d=0.00667301 t=2471
wo 	我	c=18 d=2.64812 t=2471
wo kao 	我靠	c=1 d=0.00030659 t=2471
wu 	無	c=1 d=0.358796 t=2471
wu fa 	無法	c=3 d=0.0405591 t=2471
wu liao 	無聊	c=1 d=0.0916297 t=2471
wu ren ji 	無人機	c=1 d=1.53407e-05 t=2471
wu sun 	無損	c=1 d=1.35381e-05 t=2471
wu xian 	無線	c=1 d=8.27241e-05 t=2471
wu you 	無憂	c=1 d=8.25245e-06 t=2471
xi tong 	系統	c=4 d=0.000321614 t=2471
xia 	下	c=4 d=0.0288308 t=2471
xia 	瞎	c=1 d=0.594521 t=2471
xia chang 	下場	c=1 d=1.7646e-05 t=2471
xia tian 	夏天	c=3 d=3.12613e-05 t=2471
xia zai 	下載	c=2 d=0.680553 t=2471
xian 	仙	c=2 d=6.25621e-05 t=2471
xian 	先	c=1 d=3.94688e-05 t=2471
xian 	線	c=1 d=0.900325 t=2471
xian cheng 	線程	c=2 d=0.00328192 t=2471
xian duan 	線段	c=1 d=0.00272578 t=2471
xian ka 	顯卡	c=2 d=0.00118201 t=2471
xian shi 	顯示	c=7 d=0.309666 t=2471
xian shi ping 	顯示屏	c=2 d=7.26868e-05 t=2471
xian shi qi 	顯示器	c=1 d=3.71703e-05 t=2471
xian shuo 	先說	c=1 d=0.000332125 t=2471
xian yang 	咸陽	c=1 d=0.00247875 t=2471
xian yang shi 	咸陽市	c=1 d=0.00252883 t=2471
xiang 	向	c=1 d=0.000164106 t=2471
xiang 	想	c=2 d=0.637218 t=2471
xiang bang ding 	想綁定	c=1 d=0.318224 t=2471
xiang guan 	相關	c=1 d=9.05145e-05 t=2471
xiang si 	相似	c=1 d=0.00236968 t=2471
xiang yao 	想要	c=1 d=0.0117959 t=2471
xiao 	小	c=1 d=1.83662e-05 t=2471
xiao guo 	效果	c=1 d=0.0510474 t=2471
xiao hei 	小黑	c=1 d=1.89255e-05 t=2471
xiao mi 	小米	c=1 d=0.496585 t=2471
xiao ming 	小明	c=1 d=1.00293e-05 t=2471
xiao shuo 	小說	c=1 d=0.00690852 t=2471
xiao xi 	消息	c=1 d=0.0550232 t=2471
xie 	寫	c=5 d=0.182095 t=2471
xie e 	邪惡	c=2 d=1.44156 t=2471
xie xie 	謝謝	c=1 d=0.0137736 t=2471
xie yi 	協議	c=1 d=3.51812e-05 t=2471
xie zuo 	寫作	c=1 d=0.177284 t=2471
xin 	信	c=4 d=0.000150029 t=2471
xin 	新	c=3 d=0.000139856 t=2471
xin shou 	新手	c=1 d=0.0523397 t=2471
xing 	性	c=2 d=0.0047022 t=2471
xing 	行	c=1 d=4.12855e-05 t=2471
xiong di 	兄弟	c=2 d=0.552732 t=2471
xiong mao 	熊貓	c=1 d=2.03995e-05 t=2471
xiu gai 	修改	c=2 d=9.44423e-05 t=2471
xu 	需	c=1 d=0.0195457 t=2471
xu wei 	虛僞	c=1 d=8.76276e-06 t=2471
xu yao 	需要	c=4 d=0.00609519 t=2471
xue 	學	c=10 d=0.00233492 t=2471
xue xi 	學習	c=13 d=2.45178 t=2471
xue xiao 	學校	c=1 d=0.00050296 t=2471
xue xue 	學學	c=1 d=0.565525 t=2471
xun huan 	循環	c=1 d=0.000939653 t=2471
xun zhao 	尋找	c=1 d=0.0023461 t=2471
ya 	呀	c=21 d=2.71136 t=2471
ya zi 	鴨子	c=1 d=0.0177743 t=2471
yan 	研	c=1 d=0.00199922 t=2471
yan 	言	c=1 d=0.000149981 t=2471
yan bian 	延邊	c=1 d=0.00436124 t=2471
yan chi 	延遲	c=1 d=0.0207543 t=2471
yan fa 	研發	c=1 d=0.000378233 t=2471
yan sheng 	衍生	c=1 d=0.0403566 t=2471
yan shi 	演示	c=1 d=0.423162 t=2471
yan zheng 	驗證	c=1 d=2.46681e-05 t=2471
yang cheng 	陽城	c=1 d=0.810584 t=2471
yang lao 	養老	c=1 d=0.00546167 t=2471
yao 	要	c=5 d=0.107053 t=2471
yao bu yao 	要不要	c=1 d=0.000294568 t=2471
yao xie 	要挾	c=1 d=0.000256085 t=2471
ye 	也	c=2 d=0.000110176 t=2471
ye 	夜	c=1 d=0.228779 t=2471
ye 	野	c=1 d=0.0322254 t=2471
ye hao 	也好	c=1 d=4.08747e-05 t=2471
ye jiu 	也就	c=1 d=0.00588705 t=2471
yi 	已	c=2 d=0.0230682 t=2471
yi ba 	一把	c=1 d=1.5037e-05 t=2471
yi ci 	一次	c=1 d=0.000639387 t=2471
yi ge 	一個	c=6 d=0.0966679 t=2471
yi hui 	一會	c=3 d=0.234771 t=2471
yi hui hui lai 	一會回來	c=1 d=0.108609 t=2471
yi ji 	以及	c=1 d=6.06737e-05 t=2471
yi jing 	已經	c=1 d=0.00336274 t=2471
yi long 	一龍	c=1 d=0.657047 t=2471
yi lou 	一樓	c=1 d=9.58798e-06 t=2471
yi luo 	一摞	c=1 d=2.19883e-05 t=2471
yi men 	一門	c=1 d=3.98655e-05 t=2471
yi qi 	一起	c=1 d=0.634448 t=2471
yi tiao 	一條	c=1 d=0.895834 t=2471
yi wu suo you 	一無所有	c=1 d=1.80025e-05 t=2471
yi xia 	一下	c=1 d=6.44256e-05 t=2471
yi xia 	以下	c=3 d=0.891491 t=2471
yi zhi 	一直	c=1 d=0.540641 t=2471
yi zi 	椅子	c=4 d=0.0104628 t=2471
yin 	音	c=1 d=0.000471307 t=2471
yin cang 	隱藏	c=1 d=0.0632918 t=2471
yin pin 	音頻	c=1 d=0.000480828 t=2471
yin yue 	音樂	c=3 d=0.000573353 t=2471
ying 	影	c=1 d=0.519442 t=2471
ying 	英	c=1 d=3.66169e-05 t=2471
ying gai 	應該	c=2 d=0.0131043 t=2471
ying pian 	影片	c=1 d=0.197899 t=2471
ying she 	映射	c=1 d=7.08461e-05 t=2471
ying shi 	影視	c=12 d=1.80757 t=2471
ying wen 	英文	c=3 d=0.905525 t=2471
ying yuan 	影院	c=1 d=0.207008 t=2471
yong 	永	c=3 d=0.0168005 t=2471
yong 	用	c=10 d=0.246231 t=2471
yong dao 	用到	c=1 d=7.15582e-05 t=2471
yong hu 	用戶	c=3 d=0.000524546 t=2471
yong le 	永樂	c=1 d=0.00504793 t=2471
you 	有	c=8 d=0.689213 t=2471
you ce 	右側	c=5 d=0.000239484 t=2471
you dian 	有點	c=1 d=0.00146632 t=2471
you qian 	有錢	c=1 d=0.000305061 t=2471
you xi 	遊戲	c=13 d=0.0117997 t=2471
you xiang 	郵箱	c=3 d=0.000139029 t=2471
yu 	與	c=1 d=0.67368 t=2471
yu yan 	語言	c=7 d=0.0789223 t=2471
yuan 	源	c=2 d=0.000163351 t=2471
yuan 	袁	c=2 d=0.132752 t=2471
yuan gong 	員工	c=1 d=0.000385874 t=2471
yuan zu 	元祖	c=1 d=0.000223746 t=2471
yue 	躍	c=1 d=0.0544757 t=2471
yue du 	閱讀	c=1 d=7.4107e-05 t=2471
yun 	雲	c=12 d=0.00110927 t=2471
yun ge 	雲格	c=1 d=6.92758e-06 t=2471
yun wei 	運維	c=1 d=4.06708e-05 t=2471
yun xing 	運行	c=9 d=0.24856 t=2471
za xiang 	雜項	c=1 d=0.000117979 t=2471
zai 	再	c=2 d=8.55388e-05 t=2471
zai 	在	c=27 d=0.872279 t=2471
zai xian 	在線	c=2 d=0.358244 t=2471
zan 	攢	c=1 d=0.00111378 t=2471
zao 	造	c=1 d=0.00194986 t=2471
zen me 	怎麼	c=4 d=0.658334 t=2471
zen me yang 	怎麼樣	c=1 d=0.247833 t=2471
zen yang 	怎樣	c=3 d=0.877866 t=2471
zeng jia 	增加	c=1 d=0.343009 t=2471
zhai 	宅	c=1 d=0.00123708 t=2471
zhan dui 	戰隊	c=3 d=0.076801 t=2471
zhan xin 	嶄新	c=1 d=1.18878e-05 t=2471
zhang hao 	帳號	c=1 d=2.60628e-05 t=2471
zhang jia 	漲價	c=1 d=0.00612731 t=2471
zhang jie 	章節	c=1 d=2.16609e-05 t=2471
zhao 	趙	c=2 d=0.660347 t=2471
zhao dao 	找到	c=1 d=0.000112788 t=2471
zhe 	着	c=1 d=0.0531307 t=2471
zhe 	這	c=5 d=0.0732033 t=2471
zhe ba 	這把	c=2 d=1.28547e-05 t=2471
zhe dao ti 	這道題	c=1 d=0.066205 t=2471
zhe ge 	這個	c=3 d=0.0245218 t=2471
zhe me 	這麼	c=1 d=0.00744658 t=2471
zhe shi 	這是	c=1 d=0.0222592 t=2471
zhe zhong 	這種	c=1 d=0.32628 t=2471
zhen 	真	c=8 d=0.0518554 t=2471
zhen can 	真慘	c=1 d=0.000311223 t=2471
zhen pi 	真皮	c=1 d=0.034562 t=2471
zhen shi 	真實	c=1 d=0.362402 t=2471
zhen ying 	陣營	c=2 d=1.47057 t=2471
zheng ge 	整個	c=1 d=0.000227127 t=2471
zheng ji 	整機	c=1 d=0.00117675 t=2471
zheng neng liang 	正能量	c=1 d=0.0867261 t=2471
zheng qian 	掙錢	c=1 d=0.000283018 t=2471
zheng que 	正確	c=1 d=0.00101284 t=2471
zheng tu 	征途	c=1 d=2.83751e-05 t=2471
zheng zai 	正在	c=1 d=0.0526021 t=2471
zhi 	值	c=7 d=0.00566806 t=2471
zhi 	知	c=1 d=0.307279 t=2471
zhi bao 	至寶	c=4 d=3.18622 t=2471
zhi bo 	直播	c=5 d=0.910714 t=2471
zhi dao 	知道	c=1 d=0.818731 t=2471
zhi ding 	制定	c=1 d=0.000114493 t=2471
zhi ding 	指定	c=2 d=0.000298255 t=2471
zhi fu bao 	支付寶	c=1 d=1.58079e-05 t=2471
zhi hou 	之後	c=2 d=0.0396859 t=2471
zhi hu 	支護	c=1 d=6.007e-05 t=2471
zhi hu 	知乎	c=7 d=1.39521 t=2471
zhi jie 	直接	c=4 d=0.327214 t=2471
zhi pai 	紙牌	c=1 d=2.23206e-05 t=2471
zhi shang 	智商	c=1 d=0.00644146 t=2471
zhi shi 	只是	c=1 d=0.00324708 t=2471
zhi wang 	指望	c=1 d=0.83527 t=2471
zhi wei 	職位	c=1 d=0.0383884 t=2471
zhi xing 	執行	c=2 d=0.045496 t=2471
zhi ye 	職業	c=1 d=1.43753e-05 t=2471
zhi zhu 	蜘蛛	c=2 d=1.99648e-05 t=2471
zhong 	中	c=24 d=0.351379 t=2471
zhong duan 	終端	c=2 d=0.000201251 t=2471
zhong fu 	重負	c=1 d=0.10435 t=2471
zhong guo 	中國	c=3 d=0.181072 t=2471
zhong li 	中立	c=2 d=1.43437 t=2471
zhong wen 	中文	c=7 d=0.237592 t=2471
zhong wen ban 	中文版	c=1 d=0.000135709 t=2471
zhu 	朱	c=1 d=0.65377 t=2471
zhu 	豬	c=1 d=0.0845849 t=2471
zhu ce 	註冊	c=3 d=0.00574351 t=2471
zhu huang 	豬皇	c=1 d=0.0858632 t=2471
zhu rou 	豬肉	c=1 d=0.814647 t=2471
zhu shi 	註釋	c=2 d=0.124642 t=2471
zhu shou 	助手	c=4 d=1.24385 t=2471
zhu ti 	主題	c=1 d=8.23115e-05 t=2471
zhu wen 	豬瘟	c=1 d=0.826959 t=2471
zhu yao shi 	主要是	c=1 d=0.122456 t=2471
zhuan 	轉	c=3 d=0.960789 t=2471
zhuan huan 	轉換	c=3 d=0.272631 t=2471
zhuan qian 	賺錢	c=2 d=0.996584 t=2471
zhuan ye ban 	專業版	c=1 d=2.72625e-05 t=2471
zhuang tai 	狀態	c=1 d=0.00132016 t=2471
zhuo mian 	桌面	c=2 d=0.000135383 t=2471
zi 	自	c=1 d=0.000162473 t=2471
zi dai 	自帶	c=1 d=0.00298248 t=2471
zi ding yi 	自定義	c=2 d=0.0154975 t=2471
zi dong 	自動	c=3 d=0.0157789 t=2471
zi fu 	字符	c=1 d=0.000156885 t=2471
zi fu chuan 	字符串	c=2 d=0.99005 t=2471
zi jie 	字節	c=1 d=0.000235217 t=2471
zi sha 	自殺	c=1 d=0.00171216 t=2471
zi ti 	字體	c=2 d=0.000107244 t=2471
zi you 	自由	c=4 d=0.212786 t=2471
zu 	租	c=1 d=0.0536647 t=2471
zu 	組	c=3 d=0.000529796 t=2471
zu qiu 	足球	c=1 d=0.0710054 t=2471
zui da 	最大	c=1 d=0.00235786 t=2471
zui hao 	最好	c=1 d=0.00835412 t=2471
zui hou 	最後	c=1 d=1.79127e-05 t=2471
zui xin 	最新	c=2 d=0.26806 t=2471
zuo 	做	c=1 d=0.0121552 t=2471
zuo fan 	做飯	c=2 d=0.206648 t=2471
zuo you 	左右	c=1 d=5.19619e-05 t=2471
